id;Communication_1;Communication_2;Communication_3;Compilation;LV2Allemand_2;LV2Allemand_1;Graphes_1;Marketing_1;LV2Espagnol_1;C++_1;LV2Espagnol_3;LV2Espagnol_2;TheorieDecision;TheorieDecision_1;TheorieDecision_2;Compilation_1;IA;CalculDistribue;Anglais_3;ProgrammationLineaire;ProgrammationLineaire_1;Anglais_2;Anglais_1;Java_1;Java;Java_2;C++;Architecture;Finance;IA_1;IA_2;CalculDistribue_2;CalculDistribue_1;IA_3;Graphes;GenieLogiciel_2;GenieLogiciel_1;Architecture_1
1;0;1;0;1;0;0;0;1;1;0;0;0;0;0;0;1;1;1;0;0;0;0;1;1;1;0;0;0;1;0;0;0;1;1;0;0;1;0
2;0;0;0;0;0;0;1;0;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;1;1;0;0;0;1;0;0;1;0;0;1;0;0;0
3;0;0;1;0;0;0;1;0;1;1;0;0;1;1;0;0;1;0;0;1;1;0;1;0;0;0;1;0;1;0;0;0;0;1;1;0;0;0
4;0;1;0;0;0;0;0;1;1;0;0;0;0;0;0;0;1;1;0;0;0;0;1;1;1;0;0;1;1;0;0;1;0;1;0;0;1;1
5;1;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;1;1;0;1;1;0;1;1;1;0;1;0;1;0;0;1;0;1;0;0;1;0
6;0;1;0;0;0;0;1;0;1;0;0;0;1;1;0;0;1;1;0;1;1;0;1;1;1;0;0;0;0;0;0;1;0;1;1;0;0;0
7;0;1;0;1;0;0;0;1;1;0;0;0;0;0;0;1;1;1;0;0;0;0;1;1;1;0;0;0;1;0;0;0;1;1;0;0;1;0
8;0;1;0;1;0;1;0;0;0;0;0;0;1;0;1;1;1;1;0;0;0;0;1;1;1;0;0;0;1;0;0;0;1;1;0;0;1;0
9;1;0;0;0;0;0;1;1;1;1;0;0;1;1;0;0;1;0;0;1;1;0;1;1;1;0;1;0;1;0;0;0;0;1;1;0;0;0
10;0;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;1;1;0;0;1;1;0;0;1;0;1;0;0;1;1
